TICKER,P/L,P/VP,ROE, LPA, VPA
AALR3,-42.2,2.03,-4.82,-0.47,9.68
ABCB4,6.56,0.9,13.77,2.99,21.72
ABEV3,17.97,2.82,15.7,0.86,5.48
ADHM3,-4.09,-1.29,-31.47,-0.38,-1.21
AERI3,38923.64,2.01,0.01,0.0,1.26
AESB3,10.27,1.48,14.43,0.96,6.65
AFLT3,5.49,2.45,44.62,1.85,4.15
AGRO3,5.66,1.33,23.47,5.08,21.65
AGXY3,-63.82,0.97,-1.52,-0.11,7.35
AHEB3,-10.6,-3.85,-36.27,-2.83,-7.8
AHEB5,-7.78,-2.82,-36.27,-2.83,-7.8
AHEB6,-7.07,-2.56,-36.27,-2.83,-7.8
ALLD3,5.98,0.54,9.04,1.46,16.15
ALPA3,22.2,2.12,9.55,0.8,8.39
ALPA4,25.63,2.45,9.55,0.8,8.39
ALPK3,-2.79,1.01,-36.2,-0.84,2.31
ALSO3,18.91,0.72,3.81,0.96,25.24
ALUP11,7.77,1.14,14.7,3.65,24.85
ALUP3,7.72,1.13,14.7,1.22,8.28
ALUP4,7.87,1.16,14.7,1.22,8.28
AMAR3,-7.08,0.76,-10.72,-0.34,3.19
AMBP3,26.04,3.03,11.62,1.07,9.17
AMER3,27.78,0.91,3.28,0.55,16.64
ANIM3,-6.61,0.77,-11.69,-0.78,6.66
APER3,55.07,0.75,1.36,0.52,37.89
APTI3,-1.66,0.02,-0.92,-119.01,12940.25
APTI4,-29.41,0.27,-0.92,-119.01,12940.25
ARML3,58.37,5.13,8.79,0.28,3.24
ARZZ3,23.55,4.07,17.3,3.91,22.62
ASAI3,16.18,7.81,48.26,1.19,2.46
ATMP3,-0.22,0.5,-229.65,-6.55,2.85
ATOM3,6.6,2.4,36.32,0.39,1.08
AURA33,6.73,1.35,20.03,4.64,23.17
AURE3,-313.58,1.15,-0.37,-0.05,12.73
AVLL3,-1.02,-2.38,-233.8,-19.15,-8.19
AZEV3,13.83,2.1,15.18,0.2,1.31
AZEV4,11.37,1.73,15.18,0.2,1.31
AZUL4,-8.55,-1.13,-13.26,-1.9,-14.33
B3SA3,17.77,3.84,21.6,0.73,3.39
BAHI3,-3.17,1.77,-55.84,-3.14,5.62
BALM3,4.77,0.88,18.43,2.49,13.49
BALM4,4.26,0.79,18.43,2.49,13.49
BAUH4,48.76,3.99,8.19,1.66,20.27
