Date,P/L,P/VPA,P/FCO,ROE,LC,LPA,VPA,Adj Close,IBOV,Resultado,Decisao,Empresa
2015-12-28,15.87,13.26,14.77,83.2,3.21,0.61,0.73,0.5003577929371765,0.3660085915364226,0.1343492014007539,1,WIZS3
2016-12-28,14.79,17.71,12.4,118.8,2.0,0.91,0.76,-0.09837436430715862,0.27801010337559795,-0.3763844676827566,0,WIZS3
2017-12-28,10.2,9.81,8.31,95.4,0.55,1.0,1.04,-0.37241436502848924,0.15032328996623123,-0.5227376549947205,0,WIZS3
2018-12-28,7.66,7.66,6.87,100.49,0.6,1.11,1.11,1.304309640071045,0.3259526437357061,0.9783569963353389,1,WIZS3
2019-12-28,10.54,11.48,7.95,108.64,0.53,1.34,1.23,-0.38464149365193323,0.02159884668852019,-0.4062403403404534,0,WIZS3
2020-12-28,9.27,6.08,3.36,65.42,0.88,1.22,1.86,0.06928373159073442,-0.11916741564539568,0.1884511472361301,1,WIZS3
2011-12-28,5.55,1.17,3.83,21.06,0.91,4.27,20.29,0.1683126050557442,0.07814766335302648,0.09016494170271772,1,BBAS3
2012-12-28,5.95,1.11,78.93,18.71,0.87,4.3,22.96,0.04880491666051512,-0.15889552434702714,0.20770044100754226,1,BBAS3
2013-12-28,4.42,1.0,3.99,22.63,0.83,5.52,24.38,0.08132277416451572,-0.021885423371759583,0.1032081975362753,1,BBAS3
2014-12-28,6.02,0.87,4.49,14.52,0.77,3.95,27.19,-0.32588339671081745,-0.12725097218067605,-0.1986324245301414,0,BBAS3
2015-12-28,3.0,0.6,1.22,19.96,0.78,4.92,24.66,0.9342206900805581,0.3660085915364226,0.5682120985441355,1,BBAS3
2016-12-28,10.14,1.06,3.43,10.4,0.75,2.77,26.6,0.18536487147547964,0.27801010337559795,-0.09264523190011831,0,BBAS3
2017-12-28,11.16,1.39,-1.29,12.43,0.75,3.8,30.55,0.5240773200153375,0.15032328996623123,0.37375403004910623,1,BBAS3
2018-12-28,11.05,1.52,8.15,13.75,0.79,4.41,32.1,0.2138237433266157,0.3259526437357061,-0.1121289004090904,0,BBAS3
2019-12-28,8.45,1.53,2.97,18.1,0.73,6.25,34.51,-0.38407364848600856,-0.10014244769766767,-0.2839312007883409,0,BBAS3
2011-12-28,5.47,1.41,4.92,25.78,1.89,7.21,27.97,0.12630725045172397,0.07814766335302648,0.0481595870986975,1,VALE3
2012-12-28,22.73,1.42,6.7,6.25,1.79,1.86,29.68,-0.13504437727717655,-0.15889552434702714,0.023851147069850587,1,VALE3
2013-12-28,1785.5,1.23,5.81,0.08,2.54,0.02,29.01,-0.3484878867707344,-0.021885423371759583,-0.3266024633989748,0,VALE3
2014-12-28,121.72,0.77,4.13,0.64,1.88,0.18,28.53,-0.38554036823146576,-0.12725097218067605,-0.2582893960507897,0,VALE3
2015-12-28,-1.55,0.49,4.35,-31.71,1.47,-8.43,26.58,1.1231602308295296,0.3660085915364226,0.757151639293107,1,VALE3
2016-12-28,10.11,1.01,6.22,9.96,2.01,2.54,25.49,0.5759947494412527,0.27801010337559795,0.2979846460656548,1,VALE3
2017-12-28,12.59,1.5,5.51,11.9,1.45,3.36,28.24,0.3180841658454667,0.15032328996623123,0.1677608758792355,1,VALE3
2018-12-28,10.42,1.54,5.57,14.77,1.67,4.89,33.12,0.07882949459185773,0.3259526437357061,-0.24712314914384836,0,VALE3
2019-12-28,-42.3,1.79,5.96,-4.25,1.23,-1.26,29.74,0.6970110041873532,0.02159884668852019,0.675412157498833,1,VALE3
2020-12-28,17.32,2.55,6.14,14.76,1.67,5.05,34.25,0.03814814490447471,-0.11916741564539568,0.1573155605498704,1,VALE3
2011-12-28,11.2,0.39,4.37,3.51,0.7,1.82,51.75,-0.21530169399964716,0.07814766335302648,-0.29344935735267363,0,CEBR6
2012-12-28,4.16,0.28,-11.85,6.75,0.93,3.85,57.02,0.2944327512616014,-0.15889552434702714,0.45332827560862854,1,CEBR6
2013-12-28,-2.58,0.45,1.55,-17.62,0.58,-6.63,37.65,0.05386412009581942,-0.021885423371759583,0.075749543467579,1,CEBR6
2014-12-28,-2.45,0.65,-8.89,-26.39,0.82,-7.36,27.89,-0.09500002711739386,-0.12725097218067605,0.03225094506328219,1,CEBR6
2015-12-28,3.63,0.29,-9.79,7.88,1.13,4.49,56.94,0.41190925560878733,0.3660085915364226,0.045900664072364705,1,CEBR6
2016-12-28,2.89,0.39,3.37,13.54,0.93,7.95,58.72,0.08695649405785999,0.27801010337559795,-0.19105360931773796,0,CEBR6
2017-12-28,1.38,0.46,1.64,32.97,0.96,18.08,54.82,0.24204922366590886,0.15032328996623123,0.09172593369967763,1,CEBR6
2018-12-28,-10.03,0.52,-13.57,-5.22,1.06,-3.07,58.8,0.779615853724674,0.3259526437357061,0.4536632099889679,1,CEBR6
2019-12-28,6.48,0.77,2.06,11.9,1.11,8.26,69.41,2.3090855256904956,0.02159884668852019,2.2874866790019754,1,CEBR6
2020-12-28,23.76,2.78,7.46,11.68,1.29,8.67,74.19,-2.4308572408455853,-0.11916741564539568,-2.3116898252001894,0,CEBR6
2011-12-28,7.81,0.75,7.87,9.59,1.8,4.23,44.1,-0.20338788328654112,0.07814766335302648,-0.2815355466395676,0,CPLE3
2012-12-28,9.84,0.55,4.94,5.61,1.65,2.56,45.67,0.21693652676563957,-0.15889552434702714,0.3758320511126667,1,CPLE3
2013-12-28,5.69,0.47,4.56,8.3,1.4,3.92,47.24,0.2051744437031513,-0.021885423371759583,0.22705986707491088,1,CPLE3
2014-12-28,5.65,0.5,6.24,8.81,1.29,4.41,50.0,-0.3310603877358629,-0.12725097218067605,-0.20380941555518683,0,CPLE3
2015-12-28,3.67,0.3,3.32,8.18,1.45,4.36,53.3,0.2828189312273015,0.3660085915364226,-0.08318966030912112,0,CPLE3
2016-12-28,5.45,0.34,3.54,6.33,0.78,3.5,55.38,0.205703744913184,0.27801010337559795,-0.07230635846241396,0,CPLE3
2017-12-28,6.86,0.37,4.36,5.38,0.81,3.12,57.99,0.5732040260170623,0.15032328996623123,0.4228807360508311,1,CPLE3
2018-12-28,6.25,0.54,4.96,8.61,1.0,5.14,59.7,1.363984904684524,0.3259526437357061,1.038032260948818,1,CPLE3
2019-12-28,9.5,1.07,6.42,11.31,1.48,7.27,64.31,0.0182205459464857,-0.10014244769766767,0.11836299364415337,1,CPLE3
2011-12-28,6.05,1.41,19.2,23.33,0.94,5.79,24.82,-0.0952051814539322,0.07814766335302648,-0.17335284480695867,0,BRAP3
2012-12-28,22.46,1.15,19.17,5.12,0.87,1.36,26.65,-0.30625025703724673,-0.15889552434702714,-0.1473547326902196,0,BRAP3
2013-12-28,-145.0,0.79,17.11,-0.53,33.39,-0.14,25.85,-0.3674549043366101,-0.021885423371759583,-0.3455694809648505,0,BRAP3
2014-12-28,40.72,0.46,6.9,1.14,0.78,0.29,25.57,-0.6008232312153472,-0.12725097218067605,-0.47357225903467115,0,BRAP3
2015-12-28,-0.6,0.2,4.01,-32.72,11.02,-7.41,22.65,1.9469666242942028,0.3660085915364226,1.5809580327577801,1,BRAP3
2016-12-28,6.99,0.56,71.99,7.96,7.88,1.8,22.63,1.0608080503288546,0.27801010337559795,0.7827979469532567,1,BRAP3
2017-12-28,4.12,1.09,-171.51,26.44,0.72,6.66,25.19,0.22923933256937,0.15032328996623123,0.07891604260313878,1,BRAP3
2018-12-28,7.96,0.95,-12.12,11.95,1.23,3.41,28.49,0.28256918527314534,0.3259526437357061,-0.04338345846256075,0,BRAP3
2019-12-28,-30.49,1.29,101.57,-4.22,1.76,-1.16,27.47,0.6968715013048319,0.02159884668852019,0.6752726546163117,1,BRAP3
2020-12-28,30.65,1.92,22.86,6.27,2.76,2.16,34.51,-0.44326978685617857,-0.11916741564539568,-0.3241023712107829,0,BRAP3
2011-12-28,-206.67,0.71,22.79,-0.35,3.42,-0.15,43.52,0.0036587166623167633,0.07814766335302648,-0.07448894669070971,0,PEAB3
2012-12-28,142.86,0.7,-10.88,0.5,4.81,0.21,42.72,0.05193285483839172,-0.15889552434702714,0.21082837918541886,1,PEAB3
2013-12-28,-34.48,0.75,11.25,-2.17,3.82,-0.87,40.11,0.04835703246011702,-0.021885423371759583,0.0702424558318766,1,PEAB3
2014-12-28,21.33,0.79,37.53,3.69,4.07,1.36,36.83,0.0031496010543394792,-0.12725097218067605,0.13040057323501553,1,PEAB3
2015-12-28,13.23,0.77,10.1,5.79,4.42,2.01,34.68,0.22610575989544346,0.3660085915364226,-0.13990283164097916,0,PEAB3
2016-12-28,5.97,0.79,12.57,13.18,4.27,5.23,39.69,0.3203572395915817,0.27801010337559795,0.04234713621598374,1,PEAB3
2017-12-28,14.24,1.01,13.81,7.09,3.98,2.88,40.6,0.14108155053251137,0.15032328996623123,-0.009241739433719864,0,PEAB3
2018-12-28,12.73,0.86,8.15,6.72,3.47,2.75,40.92,0.4025688054173644,0.3259526437357061,0.0766161616816583,1,PEAB3
2019-12-28,13.24,1.13,10.1,8.57,3.49,3.55,41.43,0.7594799560284071,0.02159884668852019,0.7378811093398869,1,PEAB3
2020-12-28,1.83,1.5,-3.11,82.34,2.08,36.15,43.91,0.3236086437443486,-0.11916741564539568,0.4427760593897443,1,PEAB3
2011-12-28,90.26,1.13,-45.66,1.23,3.08,0.19,15.17,-0.11950552011884041,0.07814766335302648,-0.1976531834718669,0,USIM3
2012-12-28,-26.8,0.93,5.02,-3.45,2.0,-0.51,14.77,-0.11046083477274216,-0.15889552434702714,0.048434689574284984,1,USIM3
2013-12-28,-112.73,0.83,14.05,-0.75,1.86,-0.11,15.03,0.02796026572340793,-0.021885423371759583,0.04984568909516751,1,USIM3
2014-12-28,123.0,0.82,12.65,0.69,1.73,0.1,14.97,-0.628943985094139,-0.12725097218067605,-0.5016930129134629,0,USIM3
2015-12-28,-1.56,0.34,48.71,-21.58,1.53,-2.58,11.97,0.8250537374313236,0.3660085915364226,0.459045145894901,1,USIM3
2016-12-28,-15.58,0.68,-33.35,-4.41,3.66,-0.53,12.12,0.2816569392537065,0.27801010337559795,0.0036468358781085453,1,USIM3
2017-12-28,63.16,0.99,17.15,1.53,2.38,0.19,12.12,0.05988901096957511,0.15032328996623123,-0.09043427899665613,0,USIM3
2018-12-28,20.09,0.93,28.65,4.63,2.5,0.58,12.53,-0.13597979612662003,0.3259526437357061,-0.4619324398623261,0,USIM3
2019-12-28,58.06,0.79,6.27,1.37,3.07,0.17,12.42,0.5854487718648778,0.02159884668852019,0.5638499251763576,1,USIM3
2020-12-28,29.06,1.17,5.23,4.0,2.64,0.54,13.44,-0.012172867348819727,-0.11916741564539568,0.10699454829657595,1,USIM3
2013-12-28,19.76,7.06,43.89,35.64,1.63,1.24,3.47,0.4128057956589739,-0.021885423371759583,0.4346912190307335,1,BBSE3
2014-12-28,18.59,8.12,42.17,43.62,2.07,1.73,3.96,-0.21328099995818206,-0.12725097218067605,-0.08603002777750601,0,BBSE3
2015-12-28,11.59,6.42,47.47,55.5,0.96,2.1,3.79,0.22215485735555274,0.3660085915364226,-0.14385373418086989,0,BBSE3
2016-12-28,14.08,6.84,33.94,48.42,1.04,2.01,4.14,0.08079198464139892,0.27801010337559795,-0.19721811873419903,0,BBSE3
2017-12-28,13.94,6.33,33.69,45.5,1.52,2.02,4.45,0.08447583121308977,0.15032328996623123,-0.06584745875314146,0,BBSE3
2018-12-28,14.98,7.75,36.07,51.82,1.28,1.77,3.42,0.4415896189857389,0.3259526437357061,0.1156369752500328,1,BBSE3
2019-12-28,11.32,14.39,81.48,126.86,1.06,3.33,2.62,-0.11466008392511251,0.02159884668852019,-0.1362589306136327,0,BBSE3
2020-12-28,15.35,9.29,25.94,60.27,1.27,1.93,3.19,-0.2713955208177109,-0.11916741564539568,-0.15222810517231522,0,BBSE3
2011-12-28,5.61,2.47,4.95,44.03,3.38,2.67,6.07,-0.1448772205609834,0.07814766335302648,-0.22302488391400987,0,CSNA3
2012-12-28,-39.53,1.83,4.72,-4.66,3.3,-0.3,6.49,0.3709207896841311,-0.15889552434702714,0.5298163140311583,1,CSNA3
2013-12-28,38.86,2.47,9.08,6.31,2.95,0.37,5.82,-0.5656465506101065,-0.021885423371759583,-0.5437611272383469,0,CSNA3
2014-12-28,-69.75,1.35,6.52,-1.83,2.5,-0.08,4.13,-0.24378547168570974,-0.12725097218067605,-0.1165344995050337,0,CSNA3
2015-12-28,3.42,0.63,1.09,18.52,3.09,1.17,6.3,1.5518871209704463,0.3660085915364226,1.1858785294340237,1,CSNA3
